aeroporto,tipo.de.voo,cia.aerea,possui.deficiencia,facilidade.de.desembarque.no.meio.fio,opcoes.de.transporte.ate.o.aeroporto,processo.de.aquisicao.da.passagem,processo.de.inspecao.de.seguranca,estabelecimentos.de.alimentacao,localizacao.e.deslocamento,conforto.da.sala.de.embarque,disponibilidade.de.tomadas,internet.disponibilizada.pelo.aeroporto,sanitarios,limpeza.geral.do.aeroporto,satisfacao.geral,nacionalidade,genero,idade,escolaridade,renda.familiar,viajando.sozinho,motivo.da.viagem,quantidade.de.viagens.nos.ultimos.12.meses,ja.embarcou.desembarcou.antes.no.aeroporto
SBEG,Doméstico,AZUL,Nenhuma,4,4,5,5,3,4,4,4,5,4,3,3,Brasileira,Feminino,26 a 35 anos,Ensino médio,Entre 2 e 4 sm,Sim,Trabalho,2 a 3,Sim
SBGL,Doméstico,AZUL,Nenhuma,4,4,5,5,5,4,2,3,5,5,4,4,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 2 e 4 sm,Sim,Trabalho,4 a 5,Não
SBSV,Doméstico,AZUL,Nenhuma,5,5,5,5,4,4,4,5,4,4,5,5,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Não,Lazer,2 a 3,Sim
SBRJ,Doméstico,AZUL,Nenhuma,5,4,5,1,5,5,5,4,4,5,5,5,Brasileira,Feminino,56 a 65 anos,Mestrado,Mais de 20 sm,Sim,Lazer,1 (Primeira viagem),Não
SBSV,Doméstico,AZUL,Nenhuma,4,5,5,5,2,5,3,5,5,5,5,3,Brasileira,Feminino,36 a 45 anos,Superior,Entre 1 e 2 sm,Não,Lazer,6 a 10,Não
SBBE,Doméstico,LATAM,Nenhuma,5,4,5,5,4,4,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Prefiro não informar,Sim,Lazer,2 a 3,Sim
SBBR,Doméstico,LATAM,Nenhuma,4,4,4,2,4,4,1,1,1,3,4,3,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,6 a 10,Sim
SBEG,Doméstico,GOL,Nenhuma,5,3,5,5,2,5,5,5,3,4,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Não
SBFZ,Doméstico,LATAM,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,18 a 25 anos,Ensino médio,Entre 1 e 2 sm,Sim,Trabalho,2 a 3,Sim
SBSV,Doméstico,AZUL,Nenhuma,4,4,5,5,4,5,4,3,4,4,4,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Não
SBSV,Doméstico,GOL,Nenhuma,4,4,4,4,4,4,3,2,5,3,4,3,Brasileira,Masculino,36 a 45 anos,Superior,Entre 4 e 10 sm,Não,Lazer,6 a 10,Não
SBVT,Doméstico,LATAM,Nenhuma,5,4,5,4,5,4,4,4,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 4 e 10 sm,Sim,Lazer,6 a 10,Sim
SBVT,Doméstico,AZUL,Nenhuma,5,5,5,3,5,5,3,1,3,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Não,Trabalho,4 a 5,Sim
SBFL,Doméstico,AZUL,Nenhuma,5,5,5,5,5,4,5,5,4,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,2 a 3,Não
SBMO,Doméstico,LATAM,Nenhuma,4,4,4,4,3,4,3,2,4,4,4,3,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Não,Lazer,4 a 5,Não
SBSG,Doméstico,LATAM,Nenhuma,4,4,4,4,4,4,4,4,1,3,4,4,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Não,Lazer,1 (Primeira viagem),Não
SBSP,Doméstico,GOL,Nenhuma,5,5,4,5,5,4,3,5,5,5,5,5,Brasileira,Masculino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBFZ,Doméstico,GOL,Nenhuma,4,5,5,5,5,5,5,5,5,5,5,4,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 1 e 2 sm,Não,Lazer,1 (Primeira viagem),Não
SBCT,Doméstico,AZUL,Nenhuma,4,5,5,4,5,5,2,5,4,5,5,4,Brasileira,Masculino,46 a 55 anos,Superior,Mais de 20 sm,Sim,Lazer,Mais de 11,Sim
SBCY,Doméstico,GOL,Nenhuma,4,4,5,5,5,4,4,5,4,3,4,4,Brasileira,Masculino,26 a 35 anos,Ensino médio,Prefiro não informar,Sim,Lazer,1 (Primeira viagem),Não
SBCY,Doméstico,LATAM,Nenhuma,5,5,5,5,5,5,5,4,4,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Sim,Trabalho,4 a 5,Sim
SBGL,Doméstico,GOL,Nenhuma,4,5,4,5,4,5,5,4,4,5,5,4,Brasileira,Masculino,36 a 45 anos,Ensino médio,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBGL,Internacional,TAP,Nenhuma,4,4,5,5,4,4,3,1,3,4,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Prefiro não informar,Sim,Lazer,4 a 5,Sim
SBCF,Internacional,TAP,Nenhuma,4,4,5,4,5,5,5,3,4,5,5,5,Brasileira,Feminino,46 a 55 anos,Superior,Entre 2 e 4 sm,Não,Lazer,2 a 3,Sim
SBVT,Doméstico,GOL,Nenhuma,3,3,4,5,4,4,3,2,3,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,6 a 10,Sim
SBVT,Doméstico,GOL,Nenhuma,3,3,5,5,5,5,1,3,2,4,5,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 4 e 10 sm,Sim,Outros,1 (Primeira viagem),Não
SBFZ,Doméstico,GOL,Nenhuma,5,5,3,5,5,4,5,4,4,4,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 2 e 4 sm,Não,Lazer,2 a 3,Sim
SBGL,Internacional,AIR FRANCE,Nenhuma,4,4,5,5,5,4,4,4,5,4,4,5,Brasileira,Feminino,56 a 65 anos,Superior,Prefiro não informar,Sim,Lazer e Trabalho,1 (Primeira viagem),Não
SBKP,Doméstico,AZUL,Nenhuma,4,4,5,5,4,4,5,4,4,5,5,5,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,1 (Primeira viagem),Não
SBCY,Doméstico,AZUL,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,36 a 45 anos,Ensino médio,Entre 1 e 2 sm,Sim,Lazer,4 a 5,Sim
SBFZ,Doméstico,LATAM,Nenhuma,5,5,4,5,4,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,1 (Primeira viagem),Não
SBFZ,Doméstico,LATAM,Nenhuma,5,5,3,5,5,5,5,5,5,1,4,4,Brasileira,Feminino,56 a 65 anos,Superior,Entre 10 e 20 sm,Não,Lazer,4 a 5,Não
SBFL,Doméstico,AZUL,Nenhuma,4,4,5,4,5,5,5,5,4,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Não
SBPA,Doméstico,LATAM,Nenhuma,5,5,5,5,4,5,5,4,5,5,5,5,Estrangeira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Sim,Lazer,2 a 3,Sim
